jahr;foerderungswerber;foerderungsart;medium;mediumtyp;gesetzlichegrundlage;foerderungsbetrag;"1. Teilbetrag";"2. Teilbetrag";grundbetrag;zusatzfoerderungen;redaktionsstatut;fehlermanagementsystem;"qualitätssicherungssystem";frauenfoerderplaene;"inhaltsvielfaltfoerderung";regional;international;status;ablehnungsgrund
"2024/2";"Salzburger Nachrichten Medien GmbH & Co.KG";"Verteilung von Schüler-Abos";"Salzburger Nachrichten";Tageszeitung;"5. Abschnitt: § 13 QJF-G";"31771,35";;;;;;;;;;;;abgeschlossen;
"2024/2";"Schlüsselverlag J.S. Moser GmbH";"Verteilung von Schüler-Abos";"Tiroler Tageszeitung";Tageszeitung;"5. Abschnitt: § 13 QJF-G";"31771,35";;;;;;;;;;;;abgeschlossen;
"2024/2";"Unterkärntner Nachrichten Verlags GmbH";"Verteilung von Schüler-Abos";"Unterkärntner Nachrichten";Wochenzeitung;"5. Abschnitt: § 13 QJF-G";"860,00";;;;;;;;;;;;abgeschlossen;
"2024/2";"Russmedia Verlag GmbH";"Verteilung von Schüler-Abos";"Vorarlberger Nachrichten";Tageszeitung;"5. Abschnitt: § 13 QJF-G";"10364,98";;;;;;;;;;;;abgeschlossen;
"2024/2";"WOMAN GmbH & Co KG";"Verteilung von Schüler-Abos";Woman;Magazin;"5. Abschnitt: § 13 QJF-G";"1469,60";;;;;;;;;;;;abgeschlossen;
"2025";"""Die Presse"" Verlags-Gesellschaft m.b.H. & Co KG";"Ausbildung Nachwuchsjournalisten";"""Die Presse"" Unabhängige Tageszeitung für Österreich";Tageszeitung;"4. Abschnitt: § 11 QJF-G";"50000,00";;;;;;;;;;;;abgeschlossen;
"2025";"NEUE Zeitungs GmbH";"Ausbildung Nachwuchsjournalisten";"NEUE Vorarlberger Tageszeitung";Tageszeitung;"4. Abschnitt: § 11 QJF-G";"36681,00";;;;;;;;;;;;abgeschlossen;
"2025";"OÖN Redaktion GmbH & Co KG";"Ausbildung Nachwuchsjournalisten";OÖNachrichten;Tageszeitung;"4. Abschnitt: § 11 QJF-G";"50000,00";;;;;;;;;;;;abgeschlossen;
"2025";"Profil Redaktion GmbH";"Ausbildung Nachwuchsjournalisten";Profil;Wochenzeitung;"4. Abschnitt: § 11 QJF-G";"50000,00";;;;;;;;;;;;abgeschlossen;
"2025";"TIPS Zeitungs GmbH & CoKG";"Ausbildung Nachwuchsjournalisten";TIPS;Wochenzeitung;"4. Abschnitt: § 11 QJF-G";"31685,00";;;;;;;;;;;;abgeschlossen;
"2025";"Russmedia Verlag GmbH";"Ausbildung Nachwuchsjournalisten";"Vorarlberger Nachrichten";Tageszeitung;"4. Abschnitt: § 11 QJF-G";"32749,00";;;;;;;;;;;;abgeschlossen;
"2025";"STANDARD Verlagsgesellschaft m.b.H";"Berufsbegleitende Aus-und Fortbildung";"DER STANDARD";Tageszeitung;"4. Abschnitt: § 10 QJF-G";"6103,06";;;;;;;;;;;;abgeschlossen;
"2025";"OÖN Redaktion GmbH & Co KG";"Berufsbegleitende Aus-und Fortbildung";OÖNachrichten;Tageszeitung;"4. Abschnitt: § 10 QJF-G";"45,00";;;;;;;;;;;;abgeschlossen;
"2025";"Salzburger Verlagshaus GmbH";"Berufsbegleitende Aus-und Fortbildung";"Salzburger Woche";Wochenzeitung;"4. Abschnitt: § 10 QJF-G";"3065,43";;;;;;;;;;;;abgeschlossen;
"2025";"Fivemedia GmbH";"Berufsbegleitende Aus-und Fortbildung";"www.5min.at";"Online-Medium";"4. Abschnitt: § 10 QJF-G";"2016,39";;;;;;;;;;;;abgeschlossen;
"2025";"Agrar Media Verlagsges.m.b.H.";"Berufsbegleitende Aus-und Fortbildung";"Österreichische BauernZeitung";Wochenzeitung;"4. Abschnitt: § 10 QJF-G";"6625,57";;;;;;;;;;;;abgeschlossen;
"2025";"COMMIT - Community Medien Institut für Weiterbildung, Forschung und Beratung";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";",00";;;;;;;;;;;;"Förderung abgelehnt";"Ablehnung gemäß § 1 iVm § 9 Abs. 4 Z 2 QJF-G"
"2025";"Forum Journalismus und Medien Wien - Verein Wiener Medienfortbildung";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";"289732,13";;;;;;;;;;;;abgeschlossen;
"2025";"Friedrich Austerlitz-Institut für JournalistInnenausbildung";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";"61937,21";;;;;;;;;;;;abgeschlossen;
"2025";"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung - Kurzbezeichnung FFI";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";"46511,85";;;;;;;;;;;;abgeschlossen;
"2025";"Katholische Medien Akademie (KMA)";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";"37722,58";;;;;;;;;;;;abgeschlossen;
